PUBLISHER_NAME,error,results_manual,PUBLISHER_MODE,PUBLISHER_URL,PUBLISHER_PAGES,PUBLISHER_PAGES_NR,PUBLISHER_RESULTS_NODE,PUBLISHER_RESULTS_REGEX,PUBLISHER_RESULTS_ADDCODE_YESNO,PUBLISHER_RESULTS_ADDITIONAL_CODE,PUBLISHER_RESULTS_PER_PAGE,PUBLISHER_PAGE_URL_BEFORE,PUBLISHER_PAGE_URL_AFTER,PUBLISHER_PAGE_I,JOURNALNAME_CSS,JOURNALNAMES_ADDCODE_YESNO,JOURNALNAMES_ADDITIONAL_CODE,JOURNAL_URL_NODES,JOURNALURL_ADDCODE_YESNO,JOURNALURL_ADDITIONAL_CODE,JOURNALURL_PASTE,COMMENT,OTHER
Universidad Nacional Autonoma de Mexico,,,RSelenium,http://www.revistas.unam.mx/catalogo/index.php/revistas/index,MULTIPLE,UNKNOWN,div.dataTables_info:nth-child(1),(?<=de ).*?(?=$),0,,10,,,,.table > tbody > tr > td:nth-child(1) > a.externo,0,,.table > tbody > tr > td:nth-child(1) > a.externo,0,,,not working<U+0085>,
Universidad Nacional de Colombia,,70,rvest,https://revistas.unal.edu.co/,single,single,,,0,,,,,,div.journals ul li div.body > a,0,,div.journals ul li div.body > a,0,,,,
Universidad Nacional de Cordoba,,92,rvest,https://revistas.unc.edu.ar/,single,single,,,0,,,,,,div.contiene_info h3 > a,0,,div.contiene_info h3 > a,0,,,,
Universidad Nacional de Costa Rica,,27,rvest,https://www.revistas.una.ac.cr/,single,,,,,,,,,,div.body h3 a,,,,,,,,
Universidad Nacional de La Plata,,100,rvest,https://portalderevistas.unlp.edu.ar/revista-full-list/,single,single,,,0,,,,,,#content ol li div a,0,,#content ol li div a,0,,,,
Universidad Nacional Mayor de San Marcos,,35,,https://revistasinvestigacion.unmsm.edu.pe/,,,,,,,,,,,div.body h3 > a,,,,,,,,
Universidad Pedagogica y Tecnologica de Colombia,,27,,https://revistas.uptc.edu.co/,,,,,,,,,,,div.media-body h3.media-heading a,,,,,,,,
Universidad Politecnica de Valencia,,26,,https://dialnet.unirioja.es/institucion/424/revistas/editor/13279,,,,,,,,,,,,,,,,,,,
Universidad Santo Tomas,,2,,https://www.ust.cl/investigacion/publicaciones/revistas-especializadas/,,,,,,,,,,,div.publicacion-description h3,,,,,,,,
Universidade Catolica Portuguesa,,24,rvest,https://revistas.ucp.pt/,single,,,,,,,,,,ul.media-list ul.nav-pills li.view,,,,,,,,
Universidade de Bras<ed>lia,,,rvest,https://bce.unb.br/portalperiodicos/periodicos-de-a-a-z/,single,single,,,0,,,,,,div.wpb_wrapper > h3 > a,0,,div.wpb_wrapper > h3 > a,0,,,fine,
Universidade de Brasilia,,86,,https://periodicos.unb.br/,single,single,,,,,,,,,ul li div.body h3,,,,,,,,
Universidade de Sao Paulo,,200,,https://www.revistas.usp.br/wp/category/revistas-de-a-z/?doing_wp_cron=1656747483.1337759494781494140625,MULTIPLE,14,,,,,,,,,div.not-lis div a h5,0,,div.not-lis div a,0,,,,
Universidade do Estado do Rio de Janeiro,,64,rvest,https://www.e-publicacoes.uerj.br/,single,single,,,,,,,,,#content h3,,,,,,,,
Universidade do Porto,,2,,https://www.up.pt/revistas/,,,,,,,,,,,,,,,,,,,
Universidade Estadual de Campinas,,,rvest,https://periodicos.sbu.unicamp.br/ojs/,single,single,,,0,,,,,,div.body > h3 > a,0,,div.body > h3 > a,0,,,fine,
Universidade Estadual de Maringa,,35,rvest,https://periodicos.uem.br/ojs/,single,single,,,,,,,,,div.journals div.body h3 a,,,,,,,,
Universidade Federal de Goias,,41,,https://revistas.ufg.br/,,,,,,,,,,,div.body h3 > a,,,,,,,,
Universidade Federal de Minas Gerais,,65,rvest,https://periodicos.ufmg.br/,single,single,,,0,,,,,,h3 a,0,,h3 a,0,,,,
Universidade Federal de Santa Catarina,,,rvest,https://periodicos.bu.ufsc.br/periodicos-de-a-a-z/,single,single,,,0,,,,,,h4 a:last-of-type,1,"journalnames <- sub(""""[[:blank:]]+$"""", """""""", journalnames); journalnames <- stringi::stri_remove_empty(journalnames)",h4 a:last-of-type,0,,,error with number of journals/links,
Universidade Federal do Espirito Santo,,93,,https://periodicos.ufes.br/,,,,,,,,,,,ul li h3 > a,,,,,,,,
Universidade Federal do Parana,,71,rvest,https://revistas.ufpr.br/index,single,,,,,,,,,,#content h3,,,,,,,,
Universidade Federal do Rio de Janeiro,,67,,https://revistas.ufrj.br/,,,,,,,,,,,#content div.journalDescription,,,,,,,,
Universidade Federal do Rio Grande do Sul,,88,rvest,https://seer.ufrgs.br/index,single,,,,,,,,,,div.body h3 > a,,,,,,,,
Universita degli Studi di Milano,,56,rvest,https://riviste.unimi.it/,single,single,,,0,,,,,,div.journalHpContainer h3 a,0,,div.journalHpContainer h3 a,0,,,,
Universita degli Studi di Torino,,31,,https://www.ojs.unito.it/,,,,,,,,,,,div.journals ul li .body h3 > a,,,,,,,,
Universita del Salento,,24,,http://siba-ese.unisalento.it/#journal_jump,,,,,,,,,,,,,,,,,,,
Universitaetsverlag Potsdam,,,rvest,https://shop.verlag.uni-potsdam.de/zeitschriften/,single,single,,,0,,,,,,div.zeitschriften-link > a,0,,div.zeitschriften-link > a,0,,,error due to an outdated https-certificate,
Universitas Ahmad Dahlan,,,rvest,http://journal.uad.ac.id/,single,single,,,0,,,,,,#content > h3,0,,"//*[@id=""""content""""]/a[following-sibling::text()[contains(., """"View Journal"""")]]",0,,,COMPLICATED,
Universitas Airlangga,,99,rvest,https://e-journal.unair.ac.id/,single,single,,,0,,,,,,div.media_body > ul > li.view a,0,,div.media_body > ul > li.view a,0,,,,
Universitas Andalas,,61,rvest,http://ejournal.unand.ac.id/,MULTIPLE,UNKNOWN,,,,,,,,,div.content div.views-row article h2 > a > span,,,,,,,,
Universitas Diponegoro,,,{STH MISSING HERE},https://ejournal.undip.ac.id/,,,,,,,,,,,,,,,,,,COMPLICATED (UNSTRUCTURED),
Universitas Gadjah Mada,,,rvest,https://jurnal.ugm.ac.id/,single,single,,,0,,,,,,#content > h3,0,,"//div[@class=""""content""""]/a[following-sibling::text()[contains(., """"View Journal"""")]]",0,,,error with xpath,
Universitas Indonesia,,61,,http://journal.ui.ac.id/#,,,,,,,,,,,table.table tr td:nth-child(2),,,,,,,,
Universitas Muhammadiyah Palangkaraya,,20,,http://journal.umpr.ac.id/,,,,,,,,,,,div.body h3 > a,,,,,,,,
Universitas Muhammadiyah Yogyakarta,,41,rvest,https://journal.umy.ac.id/,single,,,,,,,,,,div.ro h4,,,,,,,,
Universitas Negeri Malang,,60,,http://journal2.um.ac.id/,single,single,,,,,,,,,#content h3,,,,,,,,
Universitas Negeri Semarang,,,rvest,https://journal.unnes.ac.id/sju/,single,single,,,0,,,,,,ul.media-list h3.media-heading a,0,,ul.media-list h3.media-heading a,0,,,fine,
Universitas Negeri Surabaya,,91,,https://journal.unesa.ac.id/,,,,,,,,,,,div.body h3 > a,,,,,,,,
Universitas Negeri Yogyakarta,,93,rvest,https://journal.uny.ac.id/,MULTIPLE,UNKNOWN,,,,,,,,,#content h3,,,,,,,,
Universitas Pendidikan Indonesia,,177,,https://ejournal.upi.edu/,,,,,,,,,,,#content .journalDescription,,,,,,,,
Universitas Udayana,,25,rvest,https://ojs.unud.ac.id/,single,single,,,0,,,,,,h3.media-heading a,0,,h3.media-heading a,,,,,
Universitat Autonoma de Barcelona,,41,rvest,https://revistes.uab.cat/,single,single,,,0,,,,,,div.view-content div.field-title h2 a,0,,div.view-content div.field-title h2 a,0,,,,
Universitat de Barcelona,,98,rvest,https://revistes.ub.edu/,single,single,,,,,,,,,div.journals div.thumb > a div.thumb_title,,,,,,,,
Universitat de Valencia,,41,,https://www.uv.es/uvweb/uv-noticias/es/formats-periodistics/revistas-1285979190479.html,,,,,,,,,,,div.titols-revistes a.nombre-revista,,,,,,,,
Universitatsverlag der TU Berlin,,46,rvest,https://verlag.tu-berlin.de/en/reihen/,single,,,,,,,,,,div.reihe-link a,,,div.reihe-link a,,,,,
Universitetsforlaget,,,rvest,https://www.universitetsforlaget.no/tidsskrift#a-x,single,single,,,0,,,,,,div.xxlarge-4 > div.convert-block > ul > li > a,0,,div.xxlarge-4 > div.convert-block > ul > li > a,0,,,fine,
Universiti Malaysia Pahang Press,,15,,https://journal.ump.edu.my/,,,,,,,,,,,div.body h3 > a,,,,,,,,
Universiti Utara Malaysia Press,,8,,http://uumpress.uum.edu.my/index.php/journals,single,,,,,,,,,,,,,,,,,,
University of Alberta Press,,,rvest,https://library.ualberta.ca/publishing/open-journals,single,single,,,0,,,,,,"div.left-large > p > a[target=""""_blank""""]",0,,"div.left-large > p > a[target=""""_blank""""]",0,,,fine,
University Of Anbar,,13,,https://www.uoanbar.edu.iq/English/CMS.php?ID=29,,,,,,,,,,,table.MsoNormalTable tr td:nth-child(2),,,,,,,,
University of Belgrade,??? No central page,,,,,,,,,,,,,,,,,,,,,,
University of Bologna Press,,16,rvest,https://buponline.com/riviste/,single,single,,,,,,,,,div.preview-list a div.title,0,,div.preview-list a,0,,,,
University of Brawijaya,,40,rvest,https://www.neliti.com/universitas-brawijaya/catalogue,single,single,,,0,,,,,,ul.org-journal-list > li > a,0,,ul.org-journal-list > li > a,0,,,,
University of California Press,,,rvest,https://online.ucpress.edu/journals#journal-list,single,single,,,0,,,,,,div.homepage-panel-text > h3 > a,0,,div.homepage-panel-text > h3 > a,0,,https://online.ucpress.edu,fine,
University of Chicago Press,,,rvest,,MULTIPLE,5,,,0,,,https://www.journals.uchicago.edu/action/showPublications?pageSize=20&startPage=,,i-1,h4.meta__title > a,0,,h4.meta__title > a,0,,https://www.journals.uchicago.edu/toc,fine,
University of Hawaii Press,,90,rvest,https://uhpress.hawaii.edu/journals/a-z/,single,single,,,0,,,,,,div.entry-content a,0,,div.entry-content a,0,,,,
University of Illinois Press,,,rvest,https://www.press.uillinois.edu/journals/journals_browse.html,single,single,,,0,,,,,,#main-content > div.journals-wrapper > div > a > div.title_data,0,,#main-content > div.journals-wrapper > div > a,0,,https://www.press.uillinois.edu,COMPLICATED,
University of Isfahan,??? No central page,,,,,,,,,,,,,,,,,,,,,,
University of Ljubljana,,21,,https://journals.uni-lj.si/,,,,,,,,,,,ul li h3 > a,,,,,,,,
University of Malaya,,94,rvest,https://ejournal.um.edu.my/,single,single,,,0,,,,,,div.journals li.media h3 > a,0,,div.journals li.media h3 > a,0,,,,
University of Pennsylvania Press (Penn Press),,23,,https://journals.pennpress.org/,,,,,,,,,,,div.journalCover > a:first-child,,,,,,,,
University of Pittsburgh,,,rvest,https://library.pitt.edu/publications,single,single,,,0,,,,,,div.views-field > h3.field-content > a,0,,div.views-field > h3.field-content > a,0,,,fine,
University of Tehran,,115,rvest,https://en.jref.ir/ListUniversity/1059,single,single,,,,,,,,,,,,,,,,,
University of Toronto Press,,,rvest,https://utpjournals.press/journals,single,single,,,0,,,,,,div.bigger-letters ul li a,0,,div.bigger-letters ul li a,0,,https://utpjournals.press,fine,
University of Victoria,,35,,https://journals.uvic.ca/,,,,,,,,,,,div.body h3 a,,,,,,,,
University of Zagreb,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Ural Federal University,,21,,https://urfu.ru/en/research/scientific-journals/,,,,,,,,,,,div.directions-list-item a.directions-list-link ,,,,,,,,
US Department of Health and Human Services,??? No central page,,,,,,,,,,,,,,,,,,,,,,
V. N. Karazin Kharkiv National University,,47,rvest,http://periodicals.karazin.ua/,single,single,,,,,,,,,ul li div.body h3 a,0,,ul li div.body h3 a,0,,,,
VAN IN,??? No central page,,,,,,,,,,,,,,,,,,,,,,
Verlag der Osterreichischen Akademie der Wissenschaften,,25,,https://verlag.oeaw.ac.at/produkte/zeitschriften/c-23,,,,,,,,,,,div.collapse a h3,,,,,,,,
Via Medica,,51,rvest,https://journals.viamedica.pl/,single,single,,,0,,,,,,div.coll_1x4 > a,0,,div.coll_1x4 > a,0,,,,
Vilnius Gediminas Technical University,,21,,https://journals.uvic.ca/,,,,,,,,,,,ul.media-list li h3 > a,,,,,,,,
Vilnius University Press,,43,rvest,https://www.journals.vu.lt/,single,single,,,0,,,,,,h3.site-journal-title a,0,,h3.site-journal-title a,0,,,,
Wiley,,,rvest,,MULTIPLE,55,,,0,,,https://onlinelibrary.wiley.com/action/showPublications?PubType=journal&pageSize=50&startPage=,,i-1,li.search__item h3,0,,li.search__item a.visitable,0,,https://onlinelibrary.wiley.com,COMPLICATED,
WIT Press,,4,,https://www.witpress.com/journals,,,,,,,,,,,,,,,,,,,
Wolters Kluwer,,375,RSelenium,https://journals.lww.com/pages/journals.aspx,single,single,,,0,,,,,,h3.lp-a-z-journals__card-title,0,,a.lp-a-z-journals__card-body,0,,,fine,
World Health Organization,,9,,https://www.who.int/publications/journals,single,,,,,,,,,,,,,,,,,,
World Scientific,,204,rvest,https://www.worldscientific.com/action/showPublications?PubType=journal&startPage=0&pageSize=100,MULTIPLE,UNKNOWN,#pb-page-content > div > div.container > div > main > div.col-sm-8 > div > div.search-result__meta > div > div.pull-left.search__result > span.result__count,.*,0,,100,https://www.worldscientific.com/action/showPublications?PubType=journal&pageSize=100&startPage=,,i-1,.search-result__body.titles-results h4,0,,.search-result__body.titles-results h4 > a,0,,https://www.worldscientific.com,fine,
World Textile Publications Ltd,??? No central page,,,,,,,,,,,,,,,,,,,,,,
WSEAS,,19,,https://www.wseas.org/cms.action?id=43,single,,,,,,,,,,#content a,,,,,,,,
Zhonghua Yixeuehui Zazhishe/Chinese Medical Association Publishing House,,22,rvest,https://mednexus.org/action/showPublications,MULTIPLE,UNKNOWN,,,,,,,,,h4.search-item__title a,0,,h4.search-item__title a,0,,,,
Zibeline International Publishing,,49,RSelenium,https://www.zibelinepub.com/journals/,single,,,,,,,,,,div.wpb_single_image.vc_align_left a,,,div.wpb_single_image.vc_align_left a,,,,,
